"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Native Status","Federal Noxious Status","Federal Noxious Common Name","State Noxious Status","State Noxious Common Name","Invasive"
"ABELI","","ABELI","Abelia","L48(I)","","","","",""
"ABGR4","","ABGR4","Abelia ×grandiflora","L48(I)","","","","",""
"ABELM","","ABELM","Abelmoschus","L48(I)","","","","",""
"ABES","","ABES","Abelmoschus esculentus","L48(I)PR(I)VI(I)","","","","","SWSS"
"ABMA9","","ABMA9","Abelmoschus manihot","L48(I)","","","","",""
"ABMO","","ABMO","Abelmoschus moschatus","L48(I)HI(I)PR(I)","","","","",""
"ABIES","","ABIES","Abies","L48(I,N)CAN(N)SPM(N)","","","","",""
"ABAL3","","ABAL3","Abies alba","L48(I)","","","","",""
"ABAM","","ABAM","Abies amabilis","L48(N)AK(N)CAN(N)","","","","",""
"ABBA","","ABBA","Abies balsamea","L48(N)CAN(N)SPM(N)","","","","",""
"ABBAB","","ABBAB","Abies balsamea var. balsamea","L48(N)CAN(N)SPM(N)","","","","",""
"ABBAP","","ABBAP","Abies balsamea var. phanerolepis","L48(N)CAN(N)","","","","",""
"ABBR","","ABBR","Abies bracteata","L48(N)","","","","",""
"ABCO","","ABCO","Abies concolor","L48(N)","","","","",""
"ABFI","","ABFI","Abies firma","L48(I)","","","","",""
"ABFR","","ABFR","Abies fraseri","L48(N)","","","","",""
"ABGR","","ABGR","Abies grandis","L48(N)CAN(N)","","","","",""
"ABGU","","ABGU","Abies guatemalensis","","","","","",""
"ABHO","","ABHO","Abies homolepis","L48(I)","","","","",""
"ABLA","","ABLA","Abies lasiocarpa","L48(N)AK(N)CAN(N)","","","","",""
"ABLAA","","ABLAA","Abies lasiocarpa var. arizonica","L48(N)","","","","",""
"ABLAL","","ABLAL","Abies lasiocarpa var. lasiocarpa","L48(N)AK(N)CAN(N)","","","","",""
"ABLO","","ABLO","Abies lowiana","L48(N)","","","","",""
"ABMA","","ABMA","Abies magnifica","L48(N)","","","","",""
"ABMAM","","ABMAM","Abies magnifica var. magnifica","L48(N)","","","","",""
"ABMAS","","ABMAS","Abies magnifica var. shastensis","L48(N)","","","","",""
"ABPR","","ABPR","Abies procera","L48(N)","","","","",""
"ABVE2","","ABVE2","Abies veitchii","","","","","",""
"ABIET","","ABIET","Abietinella","NA(N)","","","","",""
"ABAB70","","ABAB70","Abietinella abietina","NA(N)","","","","",""
"ABILD","","ABILD","Abildgaardia","L48(N)","","","","",""
"ABOV","","ABOV","Abildgaardia ovata","L48(N)PR(N)VI(N)","","","","",""
"ABROM","","ABROM","Abroma","","","","","",""
"ABAU3","","ABAU3","Abroma augustum","L48(N)","","","","",""
"ABRON","","ABRON","Abronia","L48(N)CAN(N)","","","","",""
"ABAL","","ABAL","Abronia alpina","L48(N)","","","","",""
"ABAM2","","ABAM2","Abronia ameliae","L48(N)","","","","",""
"ABAM3","","ABAM3","Abronia ammophila","L48(N)","","","","",""
"ABAN","","ABAN","Abronia angustifolia","L48(N)","","","","",""
"ABAR","","ABAR","Abronia argillosa","L48(N)","","","","",""
"ABBI","","ABBI","Abronia bigelovii","L48(N)","","","","",""
"ABBO","","ABBO","Abronia bolackii","L48(N)","","","","",""
"ABCA","","ABCA","Abronia carletonii","L48(N)","","","","",""
"ABEL","","ABEL","Abronia elliptica","L48(N)","","","","",""
"ABFR2","","ABFR2","Abronia fragrans","L48(N)","","","","",""
"ABGR2","","ABGR2","Abronia gracilis","L48(N)","","","","",""
"ABIN2","","ABIN2","Abronia insularis","L48(N)","","","","",""
"ABLA2","","ABLA2","Abronia latifolia","L48(N)CAN(N)","","","","",""
"ABMA5","","ABMA5","Abronia macrocarpa","L48(N)","","","","",""
"ABMA2","","ABMA2","Abronia maritima","L48(N)","","","","",""
"ABME","","ABME","Abronia mellifera","L48(N)","","","","",""
"ABMI2","","ABMI2","Abronia minor","L48(N)","","","","",""
"ABNA","","ABNA","Abronia nana","L48(N)","","","","",""
"ABNAC","","ABNAC","Abronia nana var. covillei","L48(N)","","","","",""
"ABNAH","","ABNAH","Abronia nana var. harrisii","L48(N)","","","","",""
"ABNAN","","ABNAN","Abronia nana var. nana","L48(N)","","","","",""
"ABNE","","ABNE","Abronia neurophylla","L48(N)","","","","",""
"ABPO","","ABPO","Abronia pogonantha","L48(N)","","","","",""
"ABTU","","ABTU","Abronia turbinata","L48(N)","","","","",""
"ABUM","","ABUM","Abronia umbellata","L48(N)CAN(N)","","","","",""
"ABUMB","","ABUMB","Abronia umbellata ssp. breviflora","L48(N)CAN(N)","","","","",""
"ABUMU","","ABUMU","Abronia umbellata ssp. umbellata","L48(N)","","","","",""
"ABVI","","ABVI","Abronia villosa","L48(N)","","","","",""
"ABVIA","","ABVIA","Abronia villosa var. aurita","L48(N)","","","","",""
"ABVIV","","ABVIV","Abronia villosa var. villosa","L48(N)","","","","",""
"ABROT","","ABROT","Abrothallus","NA(N)","","","","",""
"ABBE2","","ABBE2","Abrothallus bertianus","NA(N)","","","","",""
"ABBR3","","ABBR3","Abrothallus bryoriarum","NA(N)","","","","",""
"ABCE","","ABCE","Abrothallus cetrariae","NA(N)","","","","",""
"ABCL","","ABCL","Abrothallus cladoniae","NA(N)","","","","",""
"ABPA5","","ABPA5","Abrothallus parmeliarum","NA(N)","","","","",""
"ABPE2","","ABPE2","Abrothallus peyritschii","NA(N)","","","","",""
"ABPR5","","ABPR5","Abrothallus prodiens","NA(N)","","","","",""
"ABWE","","ABWE","Abrothallus welwitschii","NA(N)","","","","",""
"ABRUS","","ABRUS","Abrus","L48(I)","","","","",""
"ABPR3","","ABPR3","Abrus precatorius","L48(I)HI(I)PR(I)VI(I)","","","","","FLEPPC"
"ABSCO","","ABSCO","Absconditella","NA(N)","","","","",""
"ABSP","","ABSP","Absconditella sphagnorum","NA(N)","","","","",""
"ABTR3","","ABTR3","Absconditella trivialis","NA(N)","","","","",""
"ABUTI","","ABUTI","Abutilon","L48(I,N)CAN(I)","","","","",""
