"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","Growth Habit","Native Status"
"ABELI",NA,"ABELI","Abelia","abelia",NA,"L48(I)"
"ABELM",NA,"ABELM","Abelmoschus","okra",NA,"L48(I)"
"ABES",NA,"ABES","Abelmoschus esculentus","okra","Subshrub, Forb/herb","L48(I)PR(I)VI(I)"
"ABES","HIES","HIES","Hibiscus esculentus",NA,NA,NA
"ABMA9",NA,"ABMA9","Abelmoschus manihot",NA,NA,"L48(I)"
"ABMA9","HIMA9","HIMA9","Hibiscus manihot",NA,NA,NA
"ABMO",NA,"ABMO","Abelmoschus moschatus","musk okra","Subshrub, Shrub","L48(I)HI(I)PR(I)"
"ABMO","HIAB","HIAB","Hibiscus abelmoschus",NA,NA,NA
"ABIES",NA,"ABIES","Abies","fir",NA,"L48(I,N)CAN(N)SPM(N)"
"ABBAB",NA,"ABBAB","Abies balsamea var. balsamea","balsam fir","Tree","L48(N)CAN(N)SPM(N)"
"ABBAB","PIBA3","PIBA3","Pinus balsamea",NA,NA,NA
"ABBR",NA,"ABBR","Abies bracteata","bristlecone fir","Tree","L48(N)"
"ABBR","ABVE","ABVE","Abies venusta",NA,NA,NA
"ABFR",NA,"ABFR","Abies fraseri","Fraser fir","Tree","L48(N)"
"ABFR","PIFR","PIFR","Pinus fraseri",NA,NA,NA
"ABGR",NA,"ABGR","Abies grandis","grand fir","Tree","L48(N)CAN(N)"
"ABGR","ABGRI2","ABGRI2","Abies grandis ssp. idahoensis",NA,NA,NA
"ABLAA",NA,"ABLAA","Abies lasiocarpa var. arizonica","corkbark fir","Tree","L48(N)"
"ABLAA","ABAR2","ABAR2","Abies arizonica",NA,NA,NA
"ABLAL",NA,"ABLAL","Abies lasiocarpa var. lasiocarpa","subalpine fir","Tree","L48(N)AK(N)CAN(N)"
"ABLAL","ABBAL","ABBAL","Abies balsamea ssp. lasiocarpa",NA,NA,NA
"ABLAL","ABBI3","ABBI3","Abies bifolia",NA,NA,NA
"ABLAL","ABLAB","ABLAB","Abies lasiocarpa ssp. bifolia",NA,NA,NA
"ABLAL","ABSU","ABSU","Abies subalpina",NA,NA,NA
"ABMAS",NA,"ABMAS","Abies magnifica var. shastensis","Shasta red fir","Tree","L48(N)"
"ABMAS","ABMAS2","ABMAS2","Abies magnifica ssp. shastensis",NA,NA,NA
